SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_NS,Total_dwelings,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,P_Emp_FullT_Tot,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_Tot,P_Tot_Unemp_Tot,STATE_CODE_2016
215011394,142,865,894,371,259,131,2664,3343,3284,6627,283,758,367,274,561,557,927,1085,922,569,332,1516,899,120,66,136,2
215021395,54,531,917,431,327,97,2351,3500,3375,6874,391,1034,532,343,635,820,1072,939,660,345,112,1964,1096,141,67,150,2
215021396,75,428,625,268,193,82,1662,2387,2386,4778,292,621,323,254,454,521,721,685,505,266,138,1180,686,89,47,154,2
215021398,64,352,503,229,215,54,1417,1949,1766,3720,193,447,207,172,318,417,518,688,435,196,125,1115,519,67,43,86,2
215021399,120,570,709,312,231,122,2069,2964,2921,5879,369,773,405,285,667,645,825,870,575,313,155,1430,822,113,90,175,2
215021469,629,2718,2283,588,250,361,6830,8787,9281,18068,1216,2169,1112,1264,2602,2084,2097,2181,1798,1065,481,4206,2366,248,147,756,2
215021470,358,1891,2044,651,264,276,5481,6891,7658,14555,909,1820,951,837,1857,1677,1842,1753,1519,970,416,3677,2065,198,131,459,2
215031400,134,771,815,338,271,130,2455,3136,3066,6200,253,746,345,195,469,549,859,1034,827,583,336,1453,871,103,51,113,2
215031401,101,719,955,444,290,139,2649,3386,3268,6651,313,752,401,269,497,642,924,1067,1034,552,187,1680,1001,119,81,114,2
215031402,112,559,544,160,110,74,1572,1864,2031,3893,196,419,218,175,358,356,486,545,515,430,197,850,573,66,30,101,2
215031403,82,275,350,129,91,98,1027,1693,1613,3313,229,457,175,212,509,358,408,469,285,141,64,778,322,54,64,86,2
215031404,304,1429,1441,413,215,224,4026,5307,5596,10905,762,1292,702,676,1414,1257,1320,1255,1049,792,385,2837,1530,190,108,236,2
215031405,62,493,786,394,293,110,2145,3365,3014,6374,340,860,398,308,588,679,980,1038,714,346,116,1644,849,121,69,140,2
216011406,332,1752,2096,679,306,270,5442,6982,7599,14574,828,1797,923,726,1546,1620,1902,1977,1731,1059,460,3717,2294,284,132,331,2
216011407,187,1198,1532,568,362,188,4031,5423,5489,10912,640,1378,684,517,1102,1163,1410,1477,1350,785,399,2690,1579,236,83,254,2
216011408,29,262,487,269,201,53,1296,1968,1836,3802,204,554,270,163,295,438,624,614,375,201,52,1074,593,83,60,74,2
216011409,72,460,528,226,153,55,1497,1899,1980,3880,220,430,243,186,311,352,543,584,499,359,148,936,543,73,46,79,2
216011410,42,448,610,251,192,89,1634,2102,1935,4041,195,416,217,162,294,379,585,726,621,343,102,951,541,67,54,89,2
216021411,161,888,803,270,141,162,2425,3143,3202,6348,358,735,355,310,637,650,763,809,921,587,216,1433,741,117,67,157,2
216021412,17,207,319,187,159,42,924,1326,1248,2570,115,295,163,125,220,238,415,475,351,134,44,682,391,71,40,63,2
216021413,181,1306,1579,761,552,241,4607,6167,6097,12265,663,1589,811,621,1173,1261,1695,1850,1452,839,311,3298,1730,250,137,249,2
216021414,173,1076,1097,297,138,161,2940,3879,4047,7930,445,923,383,329,668,764,899,1092,1241,818,363,1589,1033,156,60,163,2
216031415,236,1200,1050,332,135,159,3109,3824,4119,7939,467,973,504,459,913,948,962,1078,939,508,188,1862,1080,136,97,261,2
216031416,448,2368,2506,714,342,295,6670,9143,9453,18601,1258,2510,1275,1068,2463,2319,2508,2189,1562,958,480,4909,2710,299,152,554,2
216031417,461,2551,2958,1061,564,325,7917,11367,11767,23134,1647,3164,1595,1412,3052,2758,2938,2577,2167,1283,542,5581,3121,356,209,723,2
216031418,6,210,497,304,236,43,1303,2003,1843,3853,228,547,301,168,317,476,632,581,406,144,37,1206,664,81,44,79,2
216031419,124,941,1294,582,414,168,3521,5286,4846,10133,594,1267,645,460,1083,1254,1488,1451,1061,587,236,2649,1392,224,114,236,2
217011420,103,924,1166,625,440,159,3416,4407,4308,8719,376,978,517,331,626,888,1416,1502,1241,617,214,2238,1340,161,107,187,2
217011421,271,1494,1362,494,246,170,4035,4735,5234,9974,533,1100,675,566,992,1011,1277,1382,1257,773,404,2440,1672,214,75,236,2
217011422,250,1521,1499,505,235,216,4220,5325,5473,10800,608,1209,678,572,1034,1249,1542,1667,1209,704,333,2403,1683,240,120,340,2
217011423,67,549,811,407,389,98,2317,3076,2997,6073,321,821,333,179,486,642,920,1052,779,362,178,1720,990,127,70,102,2
217031471,114,469,502,155,85,75,1406,1680,1816,3496,187,407,159,147,302,347,436,491,546,344,133,759,539,63,32,64,2
217031472,340,1718,1650,516,252,223,4697,5995,6258,12250,744,1470,713,745,1432,1315,1515,1606,1318,914,460,2974,2005,205,128,243,2
217031473,23,424,764,366,297,85,1965,2790,2532,5321,303,749,329,203,468,601,811,815,702,275,62,1538,918,134,49,84,2
217031474,76,622,672,311,248,99,2031,2719,2663,5385,260,680,342,248,416,531,749,864,701,410,178,1394,762,91,67,95,2
217031475,64,652,967,450,346,110,2582,3678,3482,7160,427,960,525,350,643,770,1120,1033,739,438,159,2119,1091,169,79,129,2
217031476,53,536,454,168,72,63,1353,1717,1708,3429,120,317,149,133,296,352,499,730,538,215,66,760,702,106,32,69,2
217041477,55,552,891,407,343,98,2345,3383,3270,6648,407,1023,420,308,654,765,964,1006,650,324,135,1974,950,142,78,123,2
217041478,113,917,1383,514,361,137,3420,4664,4772,9432,530,1327,535,375,834,1164,1361,1420,1131,520,231,2467,1553,236,109,165,2
217041479,368,2699,3121,879,422,298,7786,10145,10952,21097,1303,2855,1470,1384,2547,2500,2792,2581,2048,1164,443,5500,3771,405,171,547,2
217041480,391,1833,1760,476,265,239,4963,6199,6726,12921,679,1358,787,856,1564,1471,1720,1727,1389,838,534,3249,2281,272,127,320,2
297979799,0,0,0,0,0,0,0,28,4,29,0,0,0,0,4,3,11,5,0,0,0,16,0,0,0,0,2
299999499,0,0,0,0,0,0,0,4331,3238,7565,379,367,357,898,1848,1295,975,816,482,121,38,1194,641,111,84,613,2
